gene	start	end	direct1	sample1	sample	direct X8
CA01g08230	20091856	20096408	-	2	1	+	6
CA01g08280	20276402	20279973	+	2	1	-	4
CA01g08290	20420283	20424026	+	2	1	-	3
CA01g08310	20610060	20612492	+	2	1	-	2
CA01g08330	20661451	20664855	+	2	1	-	3
Capang01g000778	19361265	19364990	-	3	2	+	3
Capang01g000780	19490064	19493620	-	3	2	+	4
Capang01g000784	19609427	19617523	+	3	2	-	6
Capang01g000839	22555965	22558490	+	3	2	-	2
Capang01g000843	22647334	22650651	+	3	2	-	3
Capana01g000862	19210159	19213902	-	4	3	+	3
Capana01g000864	19353754	19357325	-	4	3	+	4
Capana01g000870	19523125	19531336	+	4	3	-	6
Capana01g000913	21861505	21863898	+	4	3	-	3
DMC400051526	45109652	45111982	-	5	4	-	black
DMC400013463	47546952	47549013	-	5	4	-	2
DMC400034399	47729717	47731090	-	5	4	-	2
DMC400053750	48131830	48135453	+	5	4	+	1
DMC400053796	48375916	48379108	-	5	4	-	1
DMC400053795	48381495	48386563	-	5	4	-	1
DMC400029818	48498463	48504095	-	5	4	-	1
DMC400029816	48525937	48529479	-	5	4	-	1
DMC400016423	48553402	48561695	-	5	4	-	2
DMC400016420	48582466	48583713	-	5	4	-	black
DMC400016417	48589567	48591932	-	5	4	-	4
DMC400016465	48597897	48601815	+	5	4	+	6
DMC400031465	35686296	35688598	-	8	5	-	2
DMC400015090	46312579	46316457	-	8	5	-	5
SB_GI_109289909	78381	79646	+	6	6	-	4
SB_GI_109289910	87955	89433	+	6	6	-	1
SB_GI_109289912	101448	102800	+	6	6	-	1
SB_GI_32470648	69813	67275	-	6	6	+	6
SB_GI_113208409	28031	32001	-	7	7	-	1
SB_GI_113208410	39026	42527	-	7	7	-	1
SB_GI_113208411	49356	52615	-	7	7	-	4
SB_GI_32679546	57827	61725	+	7	7	+	6
Solyc08g075640.2.1	56943109	56946421	+	1	8	+	1
Solyc08g075630.2.1	56932274	56935571	+	1	8	+	1
Solyc08g076000.2.1	57228860	57232981	+	1	8	+	6
Solyc09g059830.1.1	51754926	51756160	+	9	9	+	4
Solyc09g064610.2.1	57527786	57524049	-	9	9	-	5
