gene	start	end	direct	sample
Solyc08g075640.2.1      	56943109	56946421	+	1	
Solyc08g075630.2.1      	56932274	56935571	+	1	
Solyc08g076000.2.1     	57228860	57232981	+	1	
Solyc08g075980.1.1   	57221306	57222605	+	1	
CA01g08230 	20091856	20096408	-	2	
CA01g08280  	20276402	20279973	+	2	
CA01g08290 	20420283	20424026	+	2	
CA01g08310                                                              	20610060	20612492	+	2	
CA01g08330 	20661451	20664855	+	2	
Capang01g000778                                                      	19361265	19364990	-	3	
Capang01g000780                                                    	19490064	19493620	-	3	
Capang01g000784                                                 	19609427	19617523	+	3	
Capang01g000839                                                       	22555965	22558490	+	3	
Capang01g000843                                                  	22647334	22650651	+	3	
Capana01g000862         	19210159	19213902	-	4	
Capana01g000864           	19353754	19357325	-	4	
Capana01g000870	19523125	19531336	+	4	
Capana01g000911          	21804891	21805748	+	4	
Capana01g000913          	21861505	21863898	+	4	
DMC400051526                        	45109652	45111982	-	5	
DMC400013463	47546952	47549013	-	5	
DMC400034399                           	47729717	47731090	-	5	
DMC400053750               	48131830	48135453	+	5	
DMC400053796              	48375916	48379108	-	5	
DMC400053795                       	48381495	48386563	-	5	
DMC400029818           	48498463	48504095	-	5	
DMC400029816	48525937	48529479	-	5	
DMC400016423   	48553402	48561695	-	5	
DMC400016420                	48582466	48583713	-	5	
DMC400016417                 	48589567	48591932	-	5	
DMC400016465                       	48597897	48601815	+	5	
SB_GI_109289909	76388	79646	+	6	
SB_GI_109289910	85860	89433	+	6	
SB_GI_109289912	100000	103962	-	6	
SB_GI_32470648	67275	71174	-	6	
SB_GI_113208409	28031	32001	-	7	
SB_GI_113208410	39026	42527	-	7	
SB_GI_113208411	49356	52615	-	7	
SB_GI_32679546	57827	61725	+	7	
